Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Percentage Profit
SBAC,2020-06-02,298.901,2020-06-15,281.16,-5.9354
SBAC,2020-07-14,279.0468,2020-08-24,283.611,1.6356
SBAC,2020-09-04,282.454,2020-10-20,288.3987,2.1047
HAS,2020-04-06,57.7965,2020-05-07,56.0299,-3.0565
HAS,2020-06-02,60.0777,2020-06-30,61.4133,2.2231
HAS,2020-07-21,64.5925,2020-08-03,61.9222,-4.1341
HAS,2020-10-06,68.6876,2020-10-26,68.9771,0.4214
HAS,2020-11-17,76.6201,2020-12-31,77.9959,1.7956
OKE,2020-02-11,52.3271,2020-02-28,45.974,-12.1411
OKE,2020-04-20,19.4384,2020-05-11,22.3379,14.9169
OKE,2020-08-07,21.6762,2020-08-20,20.264,-6.5151
OKE,2020-10-09,21.3673,2020-11-10,24.6938,15.5683
SO,2020-04-17,46.7412,2020-05-04,44.6673,-4.4371
SO,2020-06-02,47.7302,2020-06-22,44.9899,-5.7414
SO,2020-07-24,45.138,2020-08-21,43.6044,-3.3975
SO,2020-09-25,44.8034,2020-10-23,50.6651,13.0831
BDX,2020-04-13,223.4438,2020-05-22,215.5081,-3.5515
BDX,2020-07-08,228.396,2020-08-03,256.3659,12.2463
BDX,2020-10-12,216.139,2020-11-11,220.4915,2.0138
BDX,2020-12-10,220.5007,2020-12-31,227.68,3.2559
GPN,2020-04-21,135.6446,2020-05-04,155.9207,14.948
GPN,2020-07-28,165.1731,2020-08-21,161.6269,-2.147
GPN,2020-09-03,170.3339,2020-09-17,174.6124,2.5119
GPN,2020-11-13,181.2802,2020-12-29,202.0354,11.4492
EXPD,2020-04-08,67.9285,2020-06-24,69.484,2.2899
EXPD,2020-07-10,73.2215,2020-08-04,81.9613,11.9361
EXPD,2020-12-07,85.2059,2020-12-31,90.2945,5.9722
SPGI,2020-04-09,271.3831,2020-04-22,264.1666,-2.6592
SPGI,2020-08-20,346.4647,2020-09-09,338.0394,-2.4318
SPGI,2020-10-08,343.2478,2020-10-20,326.8638,-4.7732
SPGI,2020-11-17,323.5101,2020-12-04,326.8407,1.0295
RL,2020-02-12,111.3065,2020-02-25,92.4719,-16.9214
RL,2020-04-22,60.9127,2020-05-14,59.8586,-1.7306
RL,2020-05-28,72.6809,2020-06-09,77.6789,6.8767
RL,2020-07-27,65.0747,2020-08-07,59.9404,-7.89
RL,2020-09-04,67.2921,2020-09-30,61.7669,-8.2107
RL,2020-10-21,68.1645,2020-11-03,62.812,-7.8523
RL,2020-11-17,76.4249,2020-12-04,87.4297,14.3996
PHM,2020-01-15,38.9904,2020-01-29,43.4265,11.3774
PHM,2020-04-22,22.7958,2020-05-05,26.3284,15.4964
PHM,2020-07-20,35.7087,2020-07-31,41.4289,16.0191
PHM,2020-10-05,45.4637,2020-10-22,40.6239,-10.6454
PHM,2020-11-30,41.5671,2020-12-31,41.2182,-0.8394
COR,2020-01-16,85.3211,2020-02-03,79.9477,-6.2979
COR,2020-04-09,82.2768,2020-05-15,80.7502,-1.8555
COR,2020-07-20,96.2317,2020-08-24,92.2583,-4.129
COR,2020-10-09,91.5869,2020-11-11,101.4869,10.8094
BLK,2020-04-08,396.7628,2020-04-28,437.9373,10.3776
BLK,2020-10-09,544.9014,2020-11-17,594.7255,9.1437
LRCX,2020-04-16,25.4603,2020-05-01,22.1036,-13.1838
LRCX,2020-05-22,24.5602,2020-06-05,28.6777,16.765
LRCX,2020-10-05,32.4397,2020-11-05,37.8882,16.7957
HON,2020-02-20,161.2501,2020-03-03,145.2467,-9.9246
HON,2020-04-20,121.7492,2020-05-13,110.3279,-9.381
HON,2020-05-29,131.8205,2020-06-09,142.8921,8.399
HON,2020-07-21,139.8734,2020-09-03,151.1532,8.0643
HON,2020-10-09,158.4973,2020-10-29,149.6081,-5.6085
HIG,2020-04-20,34.3221,2020-05-04,31.4353,-8.411
HIG,2020-06-01,34.8149,2020-06-30,34.5282,-0.8233
HIG,2020-07-23,37.9766,2020-08-24,37.0361,-2.4764
HIG,2020-10-15,34.1507,2020-11-10,41.3636,21.1208
BXP,2020-01-17,105.6006,2020-02-28,97.5648,-7.6096
BXP,2020-04-21,67.6185,2020-05-06,63.6805,-5.8238
BXP,2020-06-05,78.0254,2020-06-16,75.8309,-2.8126
BXP,2020-07-24,70.119,2020-08-05,66.9947,-4.4557
BXP,2020-11-13,71.703,2020-11-25,80.1005,11.7114
XOM,2020-04-15,31.6413,2020-04-29,37.0972,17.2431
XOM,2020-08-14,35.1012,2020-08-25,33.2161,-5.3704
XOM,2020-11-12,29.316,2020-11-24,34.9328,19.1598
NVDA,2020-04-06,6.6849,2020-04-28,7.2568,8.5544
NVDA,2020-10-02,13.0232,2020-11-02,12.5432,-3.6862
NVDA,2020-11-17,13.3822,2020-12-14,13.2729,-0.8163
